District,Mandal,Total_Demand_Tons,Cattle_Demand,Buffaloes_Demand,Sheep_Demand,Goat_Demand,Pig_Demand,Poultry_Demand
ANANTAPUR,Putlur,34872.5,5922.400000000001,15197.0,11485.199999999999,2239.5,28.400000000000002,0.0
ANANTAPUR,Rapthadu,69099.9,21249.800000000003,7098.0,38133.6,2564.1,54.400000000000006,0.0
ANANTAPUR,Rayadurg,51580.19999999999,22077.0,12953.2,11047.199999999999,5281.2,221.60000000000002,0.0
ANANTAPUR,Settur,49296.299999999996,20768.0,12365.6,13720.8,2369.1,72.8,0.0
ANANTAPUR,Singanamala,74587.00000000001,14075.6,19510.4,38423.1,2225.1,352.8,0.0
ANANTAPUR,Tadipathri,74963.7,9726.2,39189.8,22072.2,3422.7,552.8000000000001,0.0
ANANTAPUR,Uravakonda,61288.20000000001,23883.2,12329.2,20641.2,3943.7999999999997,490.8,0.0
ANANTAPUR,Vajrakarur,48716.40000000001,25689.4,10392.2,9941.4,2657.4,36.0,0.0
ANANTAPUR,Vidapanakal,50463.4,29086.2,13390.0,6533.4,1315.8,138.0,0.0
ANANTAPUR,Yadiki,47429.4,9928.6,19172.4,14889.0,3264.6,174.8,0.0
ANANTAPUR,Yellanur,65676.49999999999,5748.6,42187.6,14646.0,3003.9,90.4,0.0
ANNAMAYYA,B.Kothakota,52036.5,32491.800000000003,1029.6000000000001,16204.8,2238.2999999999997,72.0,0.0
ANNAMAYYA,Chinnamandem,41316.2,14680.6,4732.0,17880.3,4023.2999999999997,0.0,0.0
ANNAMAYYA,Chitvel,22880.300000000003,3064.6000000000004,16320.2,1526.1,1959.0,10.4,0.0
ANNAMAYYA,Galiveedu,56325.49999999999,21586.4,16972.8,12722.699999999999,5043.599999999999,0.0,0.0
ANNAMAYYA,Gurramkonda,42672.700000000004,29458.000000000004,236.6,9658.199999999999,3253.5,66.4,0.0
ANNAMAYYA,Kalakada,38466.8,22246.4,447.2,13956.3,1779.3,37.6,0.0
ANNAMAYYA,Kalikiri,42588.6,32740.4,223.6,7751.7,1712.1,160.8,0.0
ANNAMAYYA,Kambhamvaripalle,64579.600000000006,39076.4,699.4,19864.8,4915.8,23.200000000000003,0.0
ANNAMAYYA,Kurabalakota,43395.0,33200.200000000004,161.20000000000002,8570.699999999999,1414.5,48.400000000000006,0.0
ANNAMAYYA,Lakkireddipalli,53285.100000000006,19060.800000000003,22347.0,7882.2,3918.2999999999997,76.80000000000001,0.0
ANNAMAYYA,Madanapalle,71342.7,56337.600000000006,2371.2000000000003,9119.4,3452.1,62.400000000000006,0.0
ANNAMAYYA,Mulakalacheruvu,42321.799999999996,24730.2,1016.6,14033.699999999999,2480.1,61.2,0.0
ANNAMAYYA,Nandalur,27156.5,8170.800000000001,15522.0,1548.6,1783.5,131.6,0.0
ANNAMAYYA,Nimmanapalle,42559.899999999994,33096.8,67.60000000000001,7833.299999999999,1551.0,11.200000000000001,0.0
ANNAMAYYA,Obulavaripalle,19384.500000000004,3033.8,13725.4,1292.3999999999999,1324.5,8.4,0.0
ANNAMAYYA,Peddamandyam,45507.200000000004,21223.4,1664.0,18701.7,3881.7,36.4,0.0
ANNAMAYYA,PEDDATHIPPASAMUDRAM,56577.5,31389.600000000002,1674.4,20502.6,2938.5,72.4,0.0
ANNAMAYYA,Penagaluru,31018.000000000004,4235.0,21413.600000000002,2593.5,2775.9,0.0,0.0
ANNAMAYYA,Pileru,46472.7,37543.0,813.8000000000001,6313.2,1802.7,0.0,0.0
ANNAMAYYA,Pullampeta,22274.600000000002,2288.0,16403.4,1157.7,2347.5,78.0,0.0
ANNAMAYYA,RAILWAY KODUR,22738.0,3471.6000000000004,16335.800000000001,1383.0,1420.8,126.80000000000001,0.0
ANNAMAYYA,Rajampet,37290.1,4807.0,25950.600000000002,2993.7,3223.2,315.6,0.0
ANNAMAYYA,Ramapuram,54997.4,13690.6,27396.2,9946.5,3956.1,8.0,0.0
ANNAMAYYA,Ramasamudram,45325.100000000006,33261.8,657.8000000000001,9692.1,1687.8,25.6,0.0
ANNAMAYYA,Rayachoti,52933.4,10788.800000000001,25022.4,13651.8,2931.6,538.8000000000001,0.0
ANNAMAYYA,Sambepalle,62833.5,23546.600000000002,6528.6,29500.5,3238.2,19.6,0.0
ANNAMAYYA,T.Sundupalle,58421.9,18205.0,14112.800000000001,19724.1,6254.4,125.60000000000001,0.0
ANNAMAYYA,Thamballapalle,55129.1,33638.0,262.6,18754.5,2424.0,50.0,0.0
ANNAMAYYA,VAYALPAD (VALMIKIPURAM),46584.9,35008.600000000006,166.4,9506.1,1816.2,87.60000000000001,0.0
ANNAMAYYA,Veeraballe,37853.4,9539.2,14359.800000000001,10120.5,3761.1,72.8,0.0
BAPATLA,Addanki,83410.29999999999,1610.4,69739.8,10978.5,1069.2,12.4,0.0
BAPATLA,Amruthalur,36612.2,2103.2000000000003,33857.200000000004,367.2,179.4,105.2,0.0
BAPATLA,Ballikurava,63197.8,2567.4,52031.200000000004,7456.799999999999,1099.2,43.2,0.0
BAPATLA,Bapatla,84521.1,3328.6000000000004,77433.2,3183.9,475.79999999999995,99.60000000000001,0.0
BAPATLA,Bhattiprolu,38388.4,1777.6000000000001,34257.6,1816.8,357.59999999999997,178.8,0.0
BAPATLA,Cherukupalli,51561.700000000004,2406.8,47346.0,1530.0,200.1,78.80000000000001,0.0
BAPATLA,Chinaganjam,31817.700000000004,763.4000000000001,25755.600000000002,4709.099999999999,571.1999999999999,18.400000000000002,0.0
BAPATLA,Chirala,55180.200000000004,2571.8,46664.8,5416.5,407.09999999999997,120.0,0.0
BAPATLA,Inkollu,26689.7,1944.8000000000002,22716.2,1656.0,177.9,194.8,0.0
BAPATLA,J.Pangulur,45698.799999999996,926.2,38079.6,6053.4,624.0,15.600000000000001,0.0
BAPATLA,Karamchedu,27834.100000000002,1496.0000000000002,24931.4,1091.7,156.6,158.4,0.0
BAPATLA,Karlapalem,75191.70000000001,3394.6000000000004,68421.6,2808.0,546.3,21.200000000000003,0.0
BAPATLA,Kolluru,38591.3,1526.8000000000002,35939.8,667.5,306.0,151.20000000000002,0.0
BAPATLA,Korisapadu,29607.2,992.2,23371.4,4513.2,489.59999999999997,240.8,0.0
BAPATLA,Martur,45184.4,1416.8000000000002,35100.0,8037.599999999999,406.8,223.20000000000002,0.0
BAPATLA,Nagaram,81987.1,2512.4,76299.6,2726.1,371.4,77.60000000000001,0.0
BAPATLA,Nizampatnam,56506.90000000001,2131.8,49433.8,4229.7,592.8,118.80000000000001,0.0
BAPATLA,Parchur,28743.5,2109.8,25807.600000000002,730.8,65.7,29.6,0.0
BAPATLA,Pittalavanipalem,40014.40000000001,1060.4,37616.8,1085.3999999999999,209.4,42.400000000000006,0.0
BAPATLA,Repalle,108753.7,1322.2,105716.0,1107.0,320.09999999999997,288.40000000000003,0.0
BAPATLA,Santhamaguluru,81183.9,2554.2000000000003,70460.0,6700.2,1401.8999999999999,67.60000000000001,0.0
BAPATLA,Tsundur,33678.4,699.6,32684.600000000002,99.0,105.6,89.60000000000001,0.0
BAPATLA,Vemuru,34012.1,882.2,32856.200000000004,96.6,103.5,73.60000000000001,0.0
BAPATLA,Vetapalem,27846.4,1243.0,23693.8,2346.9,501.9,60.800000000000004,0.0
BAPATLA,YeddanaPudi,16140.8,1104.4,13483.6,1440.8999999999999,96.3,15.600000000000001,0.0
CHITTOOR,Baireddipalle,47632.8,40530.600000000006,117.0,6670.5,314.7,0.0,0.0
CHITTOOR,BANGARUPALYAM,54731.8,51031.200000000004,28.6,1807.5,1864.5,0.0,0.0
CHITTOOR,Chittoor,42893.1,38522.0,369.2,1533.3,2448.6,20.0,0.0
CHITTOOR,Chowdepalle,46898.100000000006,35954.600000000006,733.2,8391.0,1758.8999999999999,60.400000000000006,0.0
CHITTOOR,Gangadhara Nellore,56172.799999999996,49462.600000000006,291.2,3815.7,2597.7,5.6000000000000005,0.0
CHITTOOR,Gangavaram,53982.4,47348.4,260.0,5468.4,890.4,15.200000000000001,0.0
CHITTOOR,Gudipala,40949.200000000004,36315.4,210.6,1468.8,2954.4,0.0,0.0
CHITTOOR,Gudipalli,33955.8,28399.800000000003,202.8,4693.5,659.6999999999999,0.0,0.0
CHITTOOR,Irala,42984.200000000004,38753.0,132.6,2433.9,1641.8999999999999,22.8,0.0
CHITTOOR,Karvetinagar,31500.000000000004,27390.000000000004,746.2,1197.0,2119.2,47.6,0.0
CHITTOOR,Kuppam,66551.8,57565.200000000004,130.0,6644.7,2211.9,0.0,0.0
CHITTOOR,Nagari,36891.1,26987.4,4841.2,1892.3999999999999,3120.9,49.2,0.0
CHITTOOR,Nindra,22994.7,16068.800000000001,3933.8,1680.0,1300.5,11.600000000000001,0.0
CHITTOOR,Palamaner,38847.700000000004,35026.200000000004,98.8,2437.5,1285.2,0.0,0.0
CHITTOOR,Palasamudram,24131.3,21223.4,494.0,939.5999999999999,1433.1,41.2,0.0
CHITTOOR,Peddapanjani,54599.3,45713.8,754.0,6951.599999999999,1151.1,28.8,0.0
CHITTOOR,Penumur,34196.100000000006,31068.4,153.4,1498.5,1463.3999999999999,12.4,0.0
CHITTOOR,Pulicherla,39284.0,33521.4,52.0,4038.6,1662.0,10.0,0.0
CHITTOOR,Punganur,59346.8,45625.8,1580.8,10498.199999999999,1600.8,41.2,0.0
CHITTOOR,Puthalapattu,40107.00000000001,36869.8,33.800000000000004,1823.1,1380.3,0.0,0.0
CHITTOOR,Ramakuppam,51693.200000000004,45397.00000000001,377.0,4737.9,1115.7,65.60000000000001,0.0
CHITTOOR,Rompicherla,25582.100000000006,21379.600000000002,36.4,3500.4,665.6999999999999,0.0,0.0
CHITTOOR,Santhipuram,43633.200000000004,35356.200000000004,210.6,7302.599999999999,763.8,0.0,0.0
CHITTOOR,Sodam,34210.0,28454.800000000003,117.0,4355.099999999999,1221.8999999999999,61.2,0.0
CHITTOOR,Somala,47083.799999999996,37327.4,533.0,6284.7,2897.1,41.6,0.0
CHITTOOR,Srirangarajapuram,30624.300000000003,27579.2,44.2,1505.3999999999999,1495.5,0.0,0.0
CHITTOOR,Thavanampalle,38051.1,34738.0,54.6,1562.1,1623.6,72.8,0.0
CHITTOOR,Veduru kuppam,51014.50000000001,41340.200000000004,962.0,4983.0,3729.2999999999997,0.0,0.0
CHITTOOR,Venkatagiri kota,62841.700000000004,54562.200000000004,145.6,6952.5,1161.0,20.400000000000002,0.0
CHITTOOR,Vijayapuram,31975.700000000004,21863.600000000002,3205.8,3602.4,3303.9,0.0,0.0
CHITTOOR,Yadamarri,39517.00000000001,36955.600000000006,91.0,1268.3999999999999,1148.3999999999999,53.6,0.0
DR B.R. AMBEDKAR KONASEEMA,Ainavilli,35022.3,9583.2,24245.0,583.8,283.5,326.8,0.0
DR B.R. AMBEDKAR KONASEEMA,Alamuru,31063.0,3412.2000000000003,27008.8,209.7,158.7,273.6,0.0
DR B.R. AMBEDKAR KONASEEMA,Allavaram,28497.7,7469.000000000001,19705.4,405.59999999999997,672.9,244.8,0.0
